student,stepsave,stepslmh,stepssd,stepssdlmh,sleepave,sleeplmh,sleepsd,sleepsdlmh,female,psetz,psetz_minus3lowest,understandse,corrguesserror,hwcondiff,leccondiff,lecturetired,preexamstress
101,10586,2,4857.521253,1,462.358209,3,127.7993811,1,1,-0.470239988,-0.470239988,5,0.1,6,6,5,5
102,10506.98507,2,4927.648739,2,487.921875,3,152.7055991,2,1,-0.556229082,-0.556229082,,0.08,2,5,3,5
103,7532.257576,1,3514.771054,1,493.6976744,3,230.5737525,3,1,-0.866147787,-0.866147787,,0.07,5,3,,4
104,11457.23881,3,5054.534791,2,371.8205128,1,166.3967489,2,0,-0.306345747,-0.306345747,,0.12,5,4,4,5
105,8376.348485,1,6950.855614,3,202,1,233.5216327,3,0,-0.415767882,-0.415767882,2,0.08,3,3,2,2
106,8299,1,5828.698981,2,444.5,2,324.6698323,3,1,0.087030372,0.087030372,5,0.12,3,5,7,6
107,10987.2,3,8717.41112,3,360.53125,1,295.9994721,3,1,-2.235785527,,,,6,6,2,3
108,12444.04478,3,4334.439948,1,347.2096774,1,174.4709318,2,1,-0.148817707,-0.148817707,6,0.07,3,3,,3
109,9325.538462,1,5055.479822,2,390.3064516,1,156.2740981,2,0,-1.606825469,,,0.11,5,6,,5
110,11627.61905,3,5924.956815,2,429.8648649,2,313.3699624,3,1,-1.099020522,,5,,,,7,
111,8427.388889,1,6727.092969,3,383.5185185,1,159.5777912,2,0,-0.563958695,-0.563958695,,,6,7,7,5
112,13273.58209,3,6145.041048,3,425.9242424,2,166.1629813,2,1,-0.142624008,-0.142624008,3,0.21,5,4,2,7
113,13503.42424,3,5961.580761,2,399.0851064,1,229.2682339,3,0,-0.239645953,-0.239645953,2,,5,5,3,4
114,5835.149254,1,3592.04747,1,431.109375,2,189.6072096,2,1,0.07175822,0.07175822,,0.11,6,5,6,4
115,10753.35821,2,4477.39014,1,449.1076923,2,138.5475523,1,1,0.49756101,0.49756101,2,0.11,6,5,3,6
116,12724.10448,3,6238.39543,3,415.641791,2,178.5483552,2,1,0.403252242,0.403252242,2,0.11,7,7,6,6
117,9433.722222,2,6773.677837,3,470.2272727,3,312.7313298,3,0,-0.101417088,-0.101417088,5,0.09,5,6,5,5
118,7407.891304,1,5172.560704,2,332.8333333,1,332.9902043,3,0,-0.476233144,-0.476233144,,0.09,5,2,,5
119,10159.04348,2,5045.008852,2,387.9230769,1,229.9566787,3,1,0.41696607,0.41696607,3,0.15,5,3,6,7
120,8475.358209,1,3888.517157,1,414.641791,2,67.98328672,1,1,0.275050987,0.275050987,3,0.09,2,2,4,5
121,9526.469697,2,5881.018688,2,437.1060606,2,150.6559395,1,1,0.203314859,0.203314859,5,0.17,3,3,4,4
122,12319.54098,3,8378.062711,3,496,3,296.5766778,3,1,-0.176009155,-0.176009155,7,,5,5,5,6
123,13951.80328,3,6960.415427,3,339.4642857,1,191.0848961,2,0,0.379921572,0.379921572,5,0.09,5,3,3,6
124,11973.4127,3,4291.105332,1,407.7258065,1,76.71973692,1,0,0.27912262,0.27912262,6,0.14,2,5,3,4
125,13589.07463,3,6310.088996,3,409.1940299,2,155.7583112,2,1,0.462885196,0.462885196,5,0.2,3,5,4,4
126,9861.666667,2,5394.748253,2,440.9777778,2,211.1915986,2,1,-0.110366248,-0.110366248,2,0.13,5,2,3,4
